Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
La Perle de Verre,Collins,,"1 oz Luxardo Bitter Bianco, 1 oz Citadelle Gin, 2 dash Orange Bitters, .25 oz Rose Poached Pear Syrup*, 1 oz Topo Chico Mineral Water, 1 oz Fever-Tree Sparkling Lemon","Combine all liquids with exception of sodas, sir together. Strain into collins glass with singular large cube. Top with sodas. Garnish with sliver of poached pear from syrup (kept chilled).

*Rose Poached Pear Syrup:
-- 1.5 C Rose (La Vielle Ferme or similar)
-- 1.5 C Water 
-- 2 C Sugar
-- 1 Large Lemon
-- 1 Half Orange
-- 1 tsp Ground Ginger (not fresh)
-- 1 tsp Vanilla
-- 3-5 Whole Cloves

Combine Rose (La Vielle Ferme or similar), water, and sugar. Bring to a simmer. Add zest of lemon and an orange, ground ginger, vanilla, and cloves. Peel and halve pears, set gently into liquid. Keep just under a simmer for 15 mins. Remove from heat, let cool at least 20 mins. Pears will keep for 3 days refrigerated in syrup. The syrup itself will last longer.",
Land of Valencia,Old Fashioned Glass,,".75 oz Luxardo Bitter Bianco, 1.5 oz Bols Genever, .5 oz Clarified Coconut Sugar Blood Orange Cordial*, 1 dash Copper & Kings Absinthe","Spray vessel with absinthe as a rinse. Build cocktail in a stirring glass. Stir cocktail. Place a large format cube in the vessel. Pour cocktail over large format cube. 

To garnish, peel a blood orange skin and express the oils over the cocktail. Grab mint sprigs and slap over the top of hand to express oils, wrap the peel at the base of the mint sprigs, tie off with twine and set on top of large format cube.

*Clarified Coconut Sugar Blood Orange Cordial:
-- Blood Oranges
-- Agar Agar
-- Coconut Sugar

Juice blood oranges. Bring 1/4 of juice to a boil with agar agar. Pour cooked juice into the remaining 3/4 juice. Freeze the juice. Pull the block from the freezer and let drip through cheese cloth and perforated pan creating the clarified juice. Bring the juice together with a rich (2:1) coconut sugar creating a coconut sugar blood orange cordial.",
Last Samurai,Cocktail Glass,,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau",Shake. Serve up. Garnish with lime wheel.,
Last Word,Cocktail Glass,,".75 oz Luxardo Maraschino Liqueur, .75 oz Junipero Gin, .75 oz Green Chartreuse, .75 oz Fresh Lime Juice",Shake all ingredients with ice then strain into a chilled cocktail glass.,
Le Femme Nikita,Rocks Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters",Build in rocks glass. Use cylinder ice cube.,
Le Sang et Sable,Stemmed Cordial Glass,,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice",Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,Photo credit: liquor.com
Lemon Drop,Cocktail glass,,"1 1/2 shot Absolut Vodka,1 1/2 shot Cointreau,Juice of 1 wedge Lemon",Shake and strain into a chilled cocktail glass rimmed with sugar.,
Little Ground Tapper,Old Fashioned Glass,,"2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Build in an old fashioned glass over ice. Garnish with orange peel.,Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Local Edition Punch,N/A,,"12 bottles H by HINE, 4 bottles Luxardo Apricot Liqueur, 1 bottle King's Ginger Liqueur, 1 bottle Luxardo Aperitivo, 4 bottles Lemon juice",Combine all ingredients in a punch bowl. Mix well.,Note* this is for a 6-8 quart punch bowl
Lonesome George,Wine Glass,,"1.25 oz Apricot-Infused H by HINE, 1 oz Napoleon Amontillado, .25 oz Mandarine Napoléon, .5 oz Lazzaroni Amaro",Stir with Ice and strain into a small wine glass.,
Long Division,Champagne Flute,,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice",Shake. Serve up. Top with sparkling rose. Garnish with lime peel.,
Long Island Limoncello Martini,N/A,,"1 oz Hangar 1 Buddha's Hand Citron Vodka, 1 oz Luxardo Limoncello, .75 oz Fresh Lemon Juice, .25 oz Monin Cane Syrup",Served up and finished with a lemon wheel.,
Lost at Sea,Collins,,"2 oz King's Ginger Liqueur, 1 oz Lime juice, .5 oz Cane sugar syrup, 2 oz Club soda","Muddle basil in mixing glass, add all ingredients except club soda. Shake and strain into a collins glass, top with club soda.  Top with crushed ice and garnish with a basil sprig.",
Lovage In The Garden,Rocks Glass,,"2 oz Hophead Vodka, 3  Sun Gold Cherry Tomatoes, 4  Lovage Leaves, .75 oz Lime Juice, .5 oz Agave Syrup (1:1 agave to water), .5 oz Luxardo Aperitivo, 1 pinch Hepps Ghost Pepper Salt",Muddle everything in a tin except Hophead. Then add Hophead and ice and shake and strain into a rocks glass with ice and garnish with a lovage sprig.,"Tasting notes- A curry like concoction with beautiful celery and tomato notes with a hint of spice in the back of the throat

Matthew chooses Sun Gold cherry tomatoes because they are easy to grow, care for, and yield an incredible amount of fruit. 
Tip: Never water the leaves, only the base of the plant.

Please visit EAT YOUR DRINK at www.matthewbiancaniello.com"
"Lox, Stock & Two Smoking Barrels",N/A,,"  Glenrothes Vintage Reserve,   Coffee-Infused Lustau East India Solera,   Cinnamon Syrup,   Milk",,
Lucky No.3,Old Fashioned Glass,,"1.5 oz No.3 London Dry Gin, 1 oz Luxardo Aperitivo, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Grapefruit Bitters, 1 pinch Kosher Salt",,
Lux Cherry Sparkler,Champagne Flute,,"1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco","Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry.",
Lux Japanese Lemonade,Copita Glass,,"1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White","Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill.",
Lux Orchard Lemonade,N/A,,".75 oz Luxardo Maraschino Liqueur, .5 oz Junipero Gin, .75 oz Monin Apple Puree, .25 oz Lemon Juice, 1 dash Fennel Bitters",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.,
Lux Shandy,Highball Glass,,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,"First served at Tales of the Cocktail 2014 ""Luxardo CAP Lunch"""
Luxardo Fresco,Wine Glass,,"1.5 oz Luxardo Maraschino Liqueur, 1 strip Cucumber, 1 dash Lemon Juice,  top Tonic",Quick stir and garnish with rosemary.,
Luxardo Ice Cream Float,Lowball Glass,,"1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream,  top Soda Water","Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry.",
Luxardo Maraschino Simple Spritz,N/A,,".5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water","Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry.",
Luxardo Sling,Tumbler,,".25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz No.3 London Dry Gin, .25 oz Grapefruit Juice, 1 fill Soda water","Shake well in a shaker, serve in a tumbler filled with ice. Top with soda water.",
Luxardo Sour,Old Fashioned Glass,,"1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White",Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.,
Lychee & 3,N/A,,"1.5 oz No.3 London Dry Gin, .5 oz Dry Vermouth, .5 oz King's Ginger Liqueur, .75 oz Yuzu, .75 oz Lychee Puree, .5 oz Simple Syrup,   Basil Leaves",,
Mack's Apple,Old Fashioned Glass,,"1.5 oz Mezcal, .5 oz Fresh Lemon Juice, 1 oz Apple Cider Reduction, .5 oz Cinnamon-Chipotle Syrup*, 1 dash House-made Apple Pie Bitters**","In a mixing glass, add ice and shake with all of the ingredients. Strain over new ice (large sphere ice cube) and serve in old fashioned glass and grate fresh cinnamon over the ice.

*Apple Cider Reduction: Boil apple cider until it reduces in volume by half.

**Cinnamon-Chipotle Syrup: Bring 1 cup sugar, 1 cup water and 3 cinnamon sticks to boil, take off heat and let steep for 20mins, add chipotle powder and mix well.",
Malibu Twister,Highball glass,,"2 parts Malibu rum,2 parts Tropicana,1 part Cranberry juice","Add rum & trister then, add cranberry jucie,stir",
Mandrake,Coupe,,"1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt","Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.

Stir with ice and strain into a small coupe. Garnish with an orange twist.",
Mango No. 3,Julep Cup,,"2 oz No.3 London Dry Gin, .75 oz Lemon Juice, .25 oz Serrano Pepper Syrup*, 1.5 oz Mango Juice, 2 dash Angostura Bitters","Serve in a julep cup with crushed ice and basil garnish.

*Serrano Pepper Syrup:
Take 6 serrano peppers. Slice 4 in half, carefully de-vein and seed them (this will take some of the heat away, make absolutely sure to wash your hands after handling the peppers, avoid touching anything unless you've washed your hands), place a skillet on medium to high heat and roast the peppers until they are a little charred. Once charred place in a blender with about 2 cups of water and throw in the 2 remaining fresh serranos (seeds and all). Blend and strain out the solids. Add 1 cup of demarara sugar to the serrano pepper water and stir until it is dissolved.",
Manhattan,Cocktail glass,,"3/4 oz Sweet Vermouth,2 1/2 oz Blended Bourbon,dash  Angostura bitters,2 or 3 Ice,1 Maraschino cherry,1 twist of Orange peel","Stirred over ice, strained into a chilled glass, garnished, and served up.",
Manhattan,Old Fashioned Glass,,"2 oz Rye or Bourbon Whiskey, 1 oz Tempus Fugit Spirits Alessio Vermouth di Torino, 2 dash Tempus Fugit Abbott's Bitters",Stir and strain. Garnish with a Luxardo Maraschino Cherry.,
Maraschino Side Car,N/A,,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice",Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.,
Marchesa,Old Fashioned Glass,,"30 ml Luxardo Maraschino Liqueur, 20 ml Bitter, 20 ml Luxardo Sangue Morlacco Cherry Liqueur, 20 ml Bourbon, 2 dash Chocolate Bitters",Prepare directly in an old fashioned glass.,Photo credit: bargiornale.it
Margarita,Old Fashioned Glass,,"2 oz Mezcal, 1 oz Luxardo Triplum (Triple Sec), 1 oz Lime juice (freshly squeezed)",,
Margarita Ahumeada,N/A,,"2 oz Mezcal, 1 oz Fresh squeezed lime juice, .5 oz Agave Nectar, .5 oz Luxardo Triplum (Triple Sec), 3 dash Habanero tincture",,
Maria Canevari Punch,N/A,,".5 oz Luxardo Maraschino Liqueur, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh Lemon Juice, .25 oz Simple Syrup, 1 oz Perfect Puree White Peach, 3 oz Soda Water",Mix all ingredients together.,Featured at the 2016/2017 SpeedRack
Martinez,Coupe,,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters","Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",
Martinez,Cocktail Glass,,"2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters","Combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. Strain into a chilled cocktail glass and garnish with the lemon peel.",
Martinez Cocktail,Cocktail glass,,"1 oz Gin,1 oz Dry Vermouth,1/4 tsp Triple sec,1 dash Orange bitters,1 Cherry",Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,
Martini,Cocktail glass,,"1 2/3 oz Gin,1/3 oz Dry Vermouth,1 Olive","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",
Mary Pickford,Cocktail glass,,"1 1/2 oz Light rum,1 oz Pineapple juice,1/2 tsp Maraschino liqueur,1/2 tsp Grenadine,1 Maraschino cherry",Shake and strain into a chilled large cocktail glass,
Masataka's Vision,N/A,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Luxardo Amaro Abano, 3 dash House-made Rasta Bitters",Muddle orange twist with sugar. Add ice. Pour ingredients over ice. Add bitters,
Match Grip Julep,N/A,,"1.5 oz H by HINE, .5 oz Jamaican Rum, 1 tsp Cacao, 1 tsp Branca Menta, 1 tsp Demerara, 1 dash Mole",,
Mauritian Buck,Rocks Glass,,"40 ml Pink Pigeon Rum, 40 ml Pressed apple juice,   Ginger ale,   Absinthe,   Lemon zest","Spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel.",
Mauritian Made,Rocks Glass,,"1.5 oz Pink Pigeon Rum, .75 oz Darjeeling simple syrup, 1 oz Lime juice",Garnish: mint and lime wheel,
Mauritian Sunrise,Rocks Glass,,"1.5 oz Pink Pigeon Rum, 2 oz Orange Juice, 1 float Luxardo Aperitivo",,
Mauritius Sour,Coupe,,".75 oz Pink Pigeon Rum, .75 oz Hirsch Small Batch Reserve Bourbon, .5 oz Angostura Bitters, .75 oz Lemon Juice, .75 oz Simple Syrup","Shake, and fine strain into a chilled coupe, and garnish with a Luxardo Cherry.",Something light and refreshing for all palates while still allowing the rum to shine through. The perfect balance of sweet and sour.
Mayahuel's Revenge,Coupe,,"1.5 oz Chinaco Blanco Tequila, 1 oz Vermut Vermouth, .5 oz Giffard Banane du Brésil, 3 dash Bittercube Jamaican #2 Bitters",Stir in a mixing glass to chill down and serve up in a coupe with a lemon zest garnish.,* Mixture is barrel aged for 5 months in a used Bourbon Barrel
Mayan Decadence,Bucket,,"1.75 oz Chinaco Anejo Tequila, .5 oz Xtabentun Liqueur (honey, anis), 3 dash Bittermens Xocolatl Mole Bitters, 3 dash Fee Brothers Aztec Chocolate Bitters","In a pint glass pour all the ingredients, stir and strain into a bucket glass 3/4 full of ice and garnish with an orange peel.",
Mayan Mule,N/A,,".5 oz King's Ginger Liqueur, .5 oz Ancho Reyes Chile Liqueur, .5 oz Montelobos Mezcal, .5 oz Aviation Gin, .5 oz Grapefruit Juice, .5 oz Lime Juice, 2 dash Bittercube Bitters Jamaican #2, 2 oz Fever-Tree Ginger Beer","Shake all ingredients. Strain and top with ginger beer. Give it a quick stir. 

Tajin ground ginger and salt rim.",
Mayan Sacrifice,Shot Glass,,"1.5 oz Chinaco Blanco Tequila, .5 oz D'Arisit Xtabentun Honey Liqueur",,
Mayan Sacrifice Champagne Cocktail,N/A,,".5 oz Chinaco Blanco Tequila, .5 oz D'Aristi Xtabentun Honey Liqueur","Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling.
Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim.
The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up!
",
Mean Martinez,Nick & Nora,,"1.5 oz Old Tom Gin, 1 oz Lustau East India Solera, .5 oz Grand Poppy Liqueur",Stir over ice and strain into a Nick and Nora glass.,
Merry Sherry Cobbler,N/A,,"1.5 oz Christmas Spirit, 1 oz Oloroso Sherry, .25 oz Walnut Liqueur, 3 dash Regans' Orange Bitters, 3 dash Pear Bitters","Mix ingredients together then pour over crushed ice into a Julep tin. Dust with salt, sugar, and cinnamon.",
Mexican Sazerac,Old Fashioned Glass,,"2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters",Ice: Large block or spherical,
Mexico Mule,Julep Cup,,"1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup","Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel.",
Mezcal Coffee Old Fashioned,N/A,,"2 oz Mezcal, .5 oz Rich coffee syrup*, .5 oz Amargo Vallet","Stir, serve on a large rock with an orange twist garnish.",*2:1 sugar (raw) to Mexican coffee.
Mezcal Witch,Coupe,,"2 oz Mezcal, .75 oz Lime, .75 oz Strega, .75 oz Simple Syrup, 3-4  Cucumbers muddled, 3-4  Mint leaves, 1 pinch Salt","shake/2xstrain/coupe

garnish cucumber slice",
Miami Vice,Cocktail glass,,"5 oz Bacardi 151 proof rum,frozen  Pina colada mix,frozen  Daiquiri mix","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",
Midnight Mint,Cocktail glass,,"1 oz Bailey's irish cream,3/4 oz White Creme de Menthe,3/4 oz double Cream","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",
Mille Miglia,Nick & Nora,,".75 oz Luxardo Maraschino Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1  Basil Leaf, .25 oz Lime Juice, 5 dash Rose Water","Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
",
Mint Garden,N/A,,"1.5 oz Chinaco Reposado Tequila, .5 oz Luxardo Triplum (Triple Sec), .75 oz Fresh grapefruit juice, .5 oz Lemon juice, .5 oz Simple syrup, 4 pieces Red bell pepper, 4 oz Mint sprigs","Muddle red pepper and mint. Add all other ingredients. Shake well over ice and strain into a chilled martini glass.
Garnish with red pepper slice and mint sprig.",
Mister Gingy,Collins,,"1 oz King's Ginger Liqueur, 1 oz Glenrothes Vintage Reserve, .75 oz Pineapple Gum, .75 oz Lemon Juice, 2 dash Angostura Bitters",Whip / Dump / Crushed,
Miyagikyo Kick,Coupe,,"1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat","Combine ingredients into a cocktail shaker. 
Shake with ice vigorously for 10-15 seconds. 
Strain into a chilled coupe glass. No garnish.",http://www.foodrepublic.com/2014/11/07/miyagikyo-kick-cocktail-recipe
Mojito,Highball glass,,"2-3 oz Light rum,Juice of 1 Lime,2 tsp Sugar,2-4 Mint, Soda water",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,
Mojito #3,Collins glass,,"1/2 handful Mint,3 cl Lemon juice,1/8 L Jamaican Dark rum,1/8 L Club soda,8 drops Angostura bitters","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",
Monet,Coupe,,"1.75 oz H by HINE, 1 oz BenRiach Madeira 15 YO, .5 oz Lemon Juice, .25 oz Briottet Creme de Banane, .25 oz Small Hand Foods Pineapple Gum Syrup","Shake, fine strain into a chilled coupe. Garnish with lemon twist.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Monkey Gland,N/A,,"2 oz No.3 London Dry Gin, 1 oz Orange juice, .25 oz Grenadine, 1 dash Duplais Swiss Absinthe Blanche",Shaken and strained. Orange peel garnish.,
Morlacco Julep,N/A,,"1.25 oz Brandy de Jerez, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 sprigs Mint, 1 float Luxardo Amaretto di Saschira","Place the mint in a tumbler glass and muddle briskly to release the essential oils, then add the cherry liqueur and the brandy. Fill up the glass with crushed ice, stir well and serve with a float of Luxardo Amaretto. Garnish with 4 sprigs of mint and 3 Luxardo Cherries.",
Motel Nacional,Collins,,"1.5 oz Chinaco Blanco Tequila, .5 oz Luxardo Apricot Liqueur, .75 oz Lime juice, 1 oz Fresh Pineapple juice, .5 oz Simple syrup, 1 oz Soda water",,
Mother Superior,Coupe,,"1.5 oz Blanc Vermouth, .75 oz Lemon Juice, .5 oz Junipero Gin, .5 oz Giffard Pamplemousse, .5 oz House-made Yellow Shaw-treuse*, .5 oz Tonic, 2 dash Celery Bitters, 2 dash Coriander Tincture","Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel. 

*Substitute with Yellow Chartreuse Liqueur",Junipero Gin 20th Anniversary Signature Cocktail
Mott and Mulberry,Rocks Glass,,"1 oz Luxardo Amaro Abano, 1 oz Old Overholt Rye, .5 oz Demerara Simple Syrup (1:1), .5 oz Lemon Juice, .75 oz Fuji Apple Cider",Shaker and strain into a rocks glass with fresh ice. Garnish with an Apple Fan.,
Muddled Mission,Coupe,,"1.5 oz Junipero Gin, 1 oz St. Germain, .25 oz Yellow Chartreuse, .75 oz Lemon Juice, 1  Strawberry","In a shaker, gently muddle the strawberry. Add the remaining ingredients and shake with ice. Strain into a coupe. Garnish with strawberry.",
Mule Pigeon,Highball Glass,,"40 ml Pink Pigeon Rum, 2 dash Angostura Bitters,  top Ginger Beer","Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",
My Spicy Valentine,,,"1.5 oz Karlsson's Gold Vodka, 1 oz Creme de Cacao, .5 oz Orange liqueur, 2 oz Milk, 3 dash Chocolate bitters",,
Mystique Green (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .75 oz Elderflower Liqueur, 1 oz Fresh lime juice, .5  Kiwi",Muddle the kiwi pulp with lime juice in a shaker tin. Add ice and liquors and shake vigorously. Strain into a chilled cocktail glass.,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
Nara Mule,Highball Glass,,"2  Kumquats, 2  Lychee, 2 oz Bulleit Rye, 1 oz King's Ginger Liqueur, .75 oz Fresh Lemon Juice, .5 oz Simple Syrup, .5 oz Egg White, .5 oz Fever Tree Ginger Beer","Muddle the kumquats and lychee in a cocktail shaker. Add the whiskey, King's Ginger, lemon juice, syrup and white egg, and shake very hard. Double strain into a highball glass filled with ice spheres.",
Naughty Nikka,Old Fashioned Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 oz Fresh Ginger Syrup, 1 slice Orange slice, 1 dash Chinese Five Spice Bitters","Muddle Orange Slice. Add Nikka. Add Ginger Syrup. Stir over Ice. Add bitters. 
","Recipe credit goes to: Jennifer Costello, Charles Lintott & Sarah Holmes"
Nectar of the Amazon,Highball Glass,,"2 oz Ypioca Cachaca Prata*, 1 oz Passion fruit juice, 1 oz Condensed milk","Shaken, poured over fresh ice in highball. Garnish with macadamia nut. Coconut shaved rim.",*Kiwi-infused Ypioca Cachaca Prata
Negroni,Old Fashioned Glass,,"1 oz No.3 London Dry Gin, 1 oz Campari, 1 oz Martini & Rossi Sweet Vermouth",Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.,
Negroni,Rocks Glass,,"1 oz No.3 London Dry Gin, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 oz Luxardo Bitter","Pour all ingredients into an ice-filled old-fashioned glass, and stir approximately 20 seconds. Add garnish.","For a slightly sweeter version, replace Luxardo bitters with Aperol."
Negroni D'Amore,Old Fashioned Glass,,"1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or","Combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel.",Photo credit: Brian Oh
Negroni Sorbetto,Coupe,,".5 oz Junipero Gin, .5 oz Luxardo Bitter, .5 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Dry Vermouth, 1 scoop Orange Sorbet, 2 drops Bittermens Orange Cream Citrate",Whisk ingredients in birdie (or tin). Pour into coupe glass and top with Prosecco (1 oz). Garnish with dehydrated orange wheel. Spray orange flower from atomizer.,
Neighborhood Negroni,Cocktail Glass,,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,Photo credit: Tim Turner (The Modern Mixologist: Contemporary Classic Cocktails)
Neko Colada,Tiki Cat Glass,,"1 oz Miso washed White Rhum Agricole, 1 oz Cocchi Vermouth di Torino, .75 oz Falernum, .75 oz Coconut Cream, .25 oz Luxardo Amaretto di Saschira, .75 oz Lime, .5 oz Mandarin Orange",Shake and strain into a tiki cat filled with crushed ice.,
Nellie Fer' Toddy,Irish Coffee Mug,,"1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice,  top Hot Water, 1 dash Peychaud's Bitters",Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.,Featured in The King's Ginger Winter Warmer Program OND 2015
New Beginnings,Collins,,".75 oz Luxardo Bitter Bianco, .75 oz Avua Cachaca Prata, .75 oz Broker's London Dry Gin, .75 oz Coconut Water, 2 dash Toasted Coconut Tincture*, 1 dash Almond Extract,  top Fever-Tree Mediterranean Tonic Water","Combine Luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). Add ice. Stir for proper dilution (30-40 revolutions). Pour in collins glass over a clarified ice sphere. Top cocktail with Fever-Tree. Add 3 almond slices for garnish.

*Toasted Coconut Tincture:
-- 4 oz (by weight) Semisweet Coconut Flakes
-- High-Proof Neutral Grain Spirit (preferably Everclear)

Lightly toast semisweet coconut flakes. Put in a small mason jar. Fill jar with high-proof neutral grain spirit. Let sit for 3 days then strain off.",
New York Lemonade,Cocktail glass,,"2 oz Absolut Citron,1 oz Grand Marnier,2 oz sweetened Lemon juice,1 oz Club soda",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,
Newton's Theory,Coupe,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz C. Drouin Pommeau de Normandie, .25 oz Luxardo Maraschino Liqueur, 4 dash Black Walnut Bitters","Combine all ingredients into a mixing glass and add ice. Stir for about 10 seconds and then strain into a chilled cocktail coupe. Garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head.",
Nick & Janae,Coupe,,"1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White","Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.

*Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.",
