Cocktail Name,Glass,strIBA,Ingredients,Instructions
Fourth Generation,Nick & Nora,,"1.5 oz Mezcal, .25 oz Luxardo Espresso Italian Liqueur, .75 oz Luxardo Bitter Bianco, 2 dash Salted Chocolate Bitters",Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.
Frankie and Johnnie,N/A,,"1 oz King's Ginger Liqueur, 1 oz C. Drouin Pommeau de Normandie, .5 oz Fresh lemon juice, .5 oz Fresh orange juice, 1 dash Jerry Thomas Bitters",Shake and serve up.
French 33,Champagne Flute,,"1.5 oz No.3 London Dry Gin, .75 oz Simple syrup, .75 oz Lime juice","Shake with ice, strain into flute, top with sparkling rose and a grapefruit twist."
French 75,Champagne Flute,,".75 oz No.3 London Dry Gin or H by HINE, .75 oz Fresh Lemon Juice, 1 dash Simple Syrup, 1 float Sparkling Wine","Mix the gin or cognac, lemon juice and syrup in a cocktail shaker. Pour the contents into a Champagne flute. Top up with Champagne. Add a Luxardo Cherry or a peel of lemon."
French Maid,N/A,,"1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig","Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel."
French Martini,Cocktail glass,New Era Drinks,"Vodka,Raspberry Liqueur,pineapple juice",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
Frisco San,Martini,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Benedictine, 1 dash Angostura Bitters",Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.
Full of Bologna,Coupe,,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice",Shaken and strained into a large coupe. Mint oil is house-made and used as a garnish.
Gagliardo,Cocktail glass,,"Peach Vodka,Lemon juice,Galliano,Sirup of roses","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
Garrison's New Fashioned,Old Fashioned Glass,,"2 oz Garrison Brothers Flagship Bourbon, .5 oz Luxardo Apricot Liqueur, 2 dash Australian Bitters Company Aromatic Bitters,   Lemon Peel","Place the lemon peel in an Old Fashioned glass and muddle with bitters. In a mixing glass filled with ice, add the bourbon and apricot liqueur, then strain into the glass. Garnish with cherry and orange slice, and serve over an ice sphere."
Geaux Geaux Cup,N/A,,"1 oz Junipero Gin, 1 oz Maurin Quina, .5 oz Fresh Lemon, .5 oz Pages Elderflower Syrup,  top Ginger Ale","Shake all ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with a splash of ginger ale. Garnish with a cucumber slice, quartered."
Georgia Old Fashioned,N/A,,"2.5 oz Nikka Coffey Grain Whisky, .25 oz Tippleman's Barrel Smoked Maple Syrup, 2 dash Regans' Orange Bitters, 5 dash Angostura Bitters, 1 disc Orange, 1 disc Lemon, 1 slice Peach","Muddle fruit, bitters and syrup. Add ice (1 large cube if available). Top with Whisky. Long stir."
Gin Made Me Do It,Martini,,"1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe","Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers."
Gin n' Celery,Double Rocks Glass,,"1.5 oz Old Tom Gin, .75 oz Lemon Juice, .5 oz Small Hand Foods Gum Syrup, 7 dash Celery Bitters, 1 oz Tonic Water, 1 pinch Salt","Shake booze, juice and gum. Add bitters and salt to a double rocks glass then add ice. Strain cocktail, top with tonic. Garnish with bitter covered lemon peel."
Gin Rickey,Highball glass,,"Gin,Grenadine,lemon,Soda Water,Lime",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
Ginger Drop,Martini,,".5 oz King's Ginger Liqueur, 1.5 oz Momokawa Organic Junmai Ginjo Sake, .75 oz Lemon juice, .5 oz Simple syrup",Shake and strain up into cocktail glass.
Ginger Pigeon,N/A,,"1 oz Pink Pigeon Rum, .5 oz Luxardo Aperitivo, .5 oz Simple syrup, .5 oz Lemon juice, 1 float Ginger beer, 4 pieces Chopped pineapple, 3 pieces Ginger root","Muddle pineapple and ginger root, lemon juice and simple syrup, then add Aperitivo and rum, shake well, over ice and top up with Ginger beer."
Glimpse of Seduction,N/A,,".75 oz Luxardo Maraschino Liqueur, .75 oz Grapefruit flavored Vodka, .5 oz Fresh lemon juice, 1 float Pomegranate liqueur, 2 scoop Lemon sorbet",Pour the first four ingredients in a blender and blend until smooth. Serve into a champagne saucer. Top with Pomegranate Liqueur float.
Goat Town Swizzle,Collins,,"1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .33 oz Luxardo Fernet, .75 oz Lemon juice, .5 oz Homemade orgeat, 4 dash Angostura bitters, 3 dash Fee Bros Orange bitters","In a collins glass, add ingredients beginning with orgeat and ending with rye. Fill glass half full with minted crushed ice. Begin ""swizzling"" cocktail with stick until cocktail is blended and ice forms on outside of glass. Top with more minted crushed ice and garnish with lemon and mint."
Gold Rush,Coupe,,"3  Basil Leaves, 1.5 oz Karlsson's Gold Vodka, .75 oz Pineapple Juice, .5 oz Simple Syrup, .5 oz Sweet Vermouth, .5 oz Lime Juice , .5 oz Egg White, 1 dash Angostura Bitters","Put basil leaves in mixing glass. Gently muddle the leaves. Add all ingredients except the bitters or ice. Dry shake the cocktail vigorously. Add the ice and shake again vigorously. Double strain into a coupe. Add a few drops of angostura on top, add cracked pepper, slap one single basil leaf on top for garnish."
Gold Spritz,N/A,,"1 oz Cocchi Americano, 1 oz Karlsson's Gold Vodka, 2 oz Club Soda",Combine all ingredients in a glass filled with ice and garnish with an orange twist.
Gran Classico Negroni,N/A,,".75 oz Tempus Fugit Gran Classico Bitter, .75 oz No.3 London Dry Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Strain into an ice filled glass and garnish with an orange twist.
Green and Gold,Martini,,"750 ml bottle Karlsson's Gold Vodka, 5 sprigs Dill, 2 cloves Crushed Garlic, 1  Lemon Peel (white pith removed and julienned), 1 Tbsp Whole Peppercorns","Step one: Infuse the vodka
- Transfer ingredients including 750 ml of Karlsson's vodka to a canning jar or glass container. Close the container.
- Shake and rotate every few hours. Let infuse for 24 hours total.
- After 24 hours, strain the vodka through a cheesecloth or nutmilk bag.
- Transfer the vodka to a glass bottle. Store in the refrigerator or freezer until use.

Step two: Make the martini
- Stir 2-3 oz, depending on preference, of the infused vodka with ice.
- Strain into a chilled martini glass.
- Add pickled onions and peppers."
Grey Anchor,N/A,,"2 oz Hophead Vodka, .75 oz Lime Juice, .5 oz St. Germaine Elderflower Liqueur, .25 oz Luxardo Maraschino Liqueur, 5 drops Bittercube Door County Hop Bitters","Shake, strain, up, garnish."
Grown-Up Shirley Temple,Highball Glass,,"1 oz Luxardo Cherry Syrup (from jar of cherries), .25 oz Fresh Lemon Juice (optional), 6 oz Soda Water","Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry."
Hanky Panky (Classic),N/A,,"1.5 oz No.3 London Dry Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Luxardo Fernet",Shake ingredients with ice then strain into a chilled cocktail glass.
Hanny's Hot Apple Toddy,Glass Mug,,"1.5 oz Luxardo Amaretto di Saschira, 8 oz Apple Cider,  oz Heavy Cream,  oz Cinnamon","Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish."
Harms' Way,Coupe,,"1 oz Luxardo Bitter Bianco, 1.25 oz Blanco Tequila, .25 oz D.O.M Benedictine, 1 dash Bittermens Xocolatl Mole Bitters","Pour all liquid ingredients into a mixing glass and stir about 55 times for proper dilution and optimal clarity. Strain into a chilled coupe. Twist fresh lemon peel over cocktail for aroma. Garnish with a simple lemon peel, trimmed neatly."
Heard It Through The Grapevine,Nick & Nora,,"1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine",Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.
Heart Breaker,Cocktail Glass,,"1.5 oz Bonded Rye, .5 oz Luxardo Amaro Abano, .5 oz Punt e Mes, 7 dash Angostura Bitters",Pour all ingredients into a mixing glass with ice. Stir to chill and dilute. Strain into a chilled cocktail glass. Express the oil from the twist over the drink and discard.
Hemingway Daiquiri,Coupe,,"1.5 oz Pink Pigeon Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur",Shake with ice in a mixing tin and double strain into a chilled cocktail coupe. Garnish with a grapefruit twist.
Hibiscus Pisco Sour,Coupe,,"2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white","Dry shake, add ice and shake again. Strain into a coupe glass."
Hidarite,N/A,,"1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters",Chilled. Serve up or on the rocks.
Hippi Hill,Coupe,,"1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice","Shake, fine strain into chilled coupe. Garnish with lime wheel."
Holland House,Cocktail Glass,,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup",Shake. Serve up. Garnish with lemon peel/pineapple.
Honey Basil Smash,Collins,,"1.5 oz English Harbour Rum 5 YO, .25 oz Honey, 3  Lime Wedges, 4  Basil Leaves,  top Ginger Ale","In collins glass, gently muddle honey, lime and basil leaves. Add English Harbour rum and ice and stir. Top with ginger ale."
Hophead Dirty Martini,Martini,,"4 oz Hophead Vodka, .5 oz Olive Juice, 1 dash Dry Vermouth",Combine all ingredients into a mixing glass and add ice. Shake and strain into a martini glass. Garnish with an olive.
Hophead Old Fashioned,Bucket,,"2 oz Hophead Vodka, .25 oz Simple syrup, 2 dash Angostura bitters, 1 dash Fee Brothers Gin Barrel Aged Bitters","Combine all ingredients into a mixing glass and stir until proper dilution. Strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest.
"
Hopped-Up Mary,N/A,,"2 oz Hophead Vodka, 6 oz Tomato Juice, 1.5 tsp Demitri's Bloody Mary Seasoning, .5 oz Fresh Lemon Juice","Combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. Add ice. Stir again to mix. Garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk."
Hopped-Up Mule,Collins,,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice,  top Ginger Beer","Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel."
Hotaling Seaside Shandy,N/A,,"1 oz Genevieve Gin, 1 bottle Lager","Genevieve is Hotaling's interpretation of genever, an ancient and mysterious gin style. The most common way to consume genever has always been straight. If you are planning to set sail for the day, picnic or do something else to enjoy the great outdoors, we recommend throwing a bottle of Genevieve in the freezer the evening before your outing and moving it to the cooler day of. We sip it straight while enjoying a lager. Glassware is dealer's choice, but cordial glasses are elegant and fun."
Hotaling White Manhattan,N/A,,"2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters",Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.
Huntsman,Rocks Glass,,"2 oz Pink Pigeon Rum, 1 cube Brown Sugar",Soak brown sugar cube in Angostura and Orange bitters. Muddle soaked sugar cube into a paste in a rocks glass. Pour 2 oz. Pink Pigeon. Add ice and stir. Garnish with an orange peel and Luxardo Cherry.
I'm Only Happy when it Rains,N/A,,"1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice","Shake, double strain into a Burgundy Glass."
Imperial Cocktail,Cocktail glass,,"Lime juice,Gin,Aperol",Shake with ice and strain into cocktail glass.
Improved Calvados Cocktail,Double Rocks Glass,,"2 oz C. Drouin Calvados Selection, 1 bsp Benedictine, 1 bsp Green Chartreuse, 1 bsp Small Hand Foods Gum Syrup, 2 dash Angostura Bitters","Stir to 35 °F, strain into a double rocks glass over an angled ice wedge. Garnish with orange peel."
Improved Whisky Cocktail,Coupe,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 dash Luxardo Maraschino Liqueur, 1 dash Pontarlier Anis",Stir and strain into a chilled coupe.
In HINEsight,Old Fashioned Glass,,"1.5 oz H by HINE, 1 oz Luxardo Bitter, .5 oz Quady Muscat Wine",Stir and strain into an old fashioned glass. Large ice cube.
International Mistress,Collins,,"1.5 oz Amaro Nonino Quintessentia, .75 oz Lemon Juice, .5 oz Mezcal, .5 oz Small Hand Foods Orgeat, 2 oz Soda Water","Stir, fine strain into a collins glass over ice. Top with soda. Garnish with grapefruit peel."
IPA Mule,Tin Cup,,"1.5 oz Hophead Vodka, .5 oz Ginger Liqueur, .75 oz Lime Juice, .5 oz Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA (from tap)","Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish."
Irish Curdling Cow,Highball glass,,"Bailey's irish cream,Bourbon,Vodka,Orange juice","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Irish Goodbye,Irish Coffee glass,,"1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream","Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish.
"
Iron Fist in a Velvet Glove,Nick & Nora,,"1.25 oz Lillet Rose, .75 oz BarSol Primero Quebranta Pisco, .75 oz Prata Cachaca, .25 oz Velvet Falernum",Stir with ice and strain into a Nick & Nora glass. Garnish with a grapefruit twist.
Iron Tonic,Coupe,,".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water","Shake, strain into a chilled coupe, float tonic water."
Italian Margarita,N/A,,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup",Shaken and served over ice.
Italian Riviera Mojito,Collins,,"1 oz Coconut Rum, .5 oz Funkin Passion Fruit Puree, .5 oz Briottet Creme de Banane, .5 oz Fresh squeezed lime, 8 leaves Mint Leaves","Shake & Dump into Collins Glass, Top with Prosecco, cap with crushed ice. Garnish with Mint Sprig. 
"
Jalapeño Sour,Double Rocks Glass,,"2 oz Chinaco Blanco Tequila, .5 oz Green Chartreuse, .5 oz Lime juice, 1 oz Pineapple juice, .5 oz Jalapeño Syrup, .5 oz Egg White","dryshake/shake/dblrocks

garnish jalapeño slice"
Jammie Dodger Fizz,Collins,,"2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White","Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel."
Japanese Cocktail,Cocktail Glass,,"2 oz H by HINE, .5 oz Luxardo Orgeat Syrup, 3 dash Angostura Bitters","Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish."
Japonais No.3,Highball Glass,,"1.5 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, 1 oz Orange juice, 1 dash Simple syrup, 2  Cucumber slices, muddled, 2  Raspberries, muddled","Muddle two cucumber slices, two raspberries and simple syrup in a highball, add ice. Shake gin, ginger liqueur and orange juice with ice. Strain into highball glass.  Garnish with a candied ginger stick."
Jitterbug,Cocktail Glass,,"Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
Julia's Child,Cocktail Glass,,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters","Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf."
Juniperotivo,Cocktail Glass,,"1.5 oz Junipero Gin, .5 oz Simple Syrup, .5 oz Lime Juice, .25 oz Pomegranate Syrup, 4 large Mint Leaves","In mixing glass, using a spoon, crush 2 mint leaves in the simple syrup, and add gin, lime juice and pomegranate syrup. Pour into ice-filled shaker. Shake well and strain into chilled cocktail glass. Float remaining 2 mint leaves for garnish."
Kanazawa,Cocktail Glass,,"2 oz Nikka Coffey Grain Whisky, .75 oz Dry Vermouth, .25 oz Luxardo Amaro Abano, 1 bsp Luxardo Maraschino Liqueur, 1 dash Angostura Bitters","Stir all ingredients until well chilled, and strain into a chilled cocktail glass.
Garnish with an orange peel with oils squeeze over cocktail."
Karlsson's Mule,Copper mug,,"1.5 oz Karlsson's Gold Vodka, .25 oz Lime juice , 3 oz Ginger beer","Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime."
Karlsson's Old Fashioned,N/A,,"2 oz Karlsson's Gold Vodka, 1 cube Brown sugar, 1 splash Bitter","Put a brown sugar cube at the bottom of a frosted glass.
Add a splash of bitter and muddle the sugar.
Add Karlsson's Gold Vodka and stir with ice.
Add lemon and orange peels (which you can burn for added flavor)."
Karlsson's Winter Punch,N/A,,"750 ml bottle Karlsson's Gold Vodka, 5 oz Pomegranate Juice, 9 oz Cranberry Juice, 9 oz Aperol, 4 oz Simple Syrup (equal parts sugar and water), 3  Star Anise, 5  Cloves, 4  Allspice Berries, 3  Cinnamon Sticks, 2 oz Orange Peel","Toast spices and set aside. Bring cranberry juice to a simmer. Tie the spices and orange peel in cheesecloth and add them to the cranberry juice. Let this simmer for about 30 minutes. Remove the spice sachet and add the other liquid ingredients. Serve warm or chilled with orange wheels as a garnish. (The magic of punches is that you can adjust them to your liking as you make them, so please play around with different juices and proportions.)"
Kay Pacha Mi Pacha,Martini,,"1.5 oz BarSol Supremo Moste Verde Italia Pisco, .5 oz No.3 London Dry Gin, .5 oz Luxardo Maraschino Liqueur, .5 oz Lemon juice, 2 dash Angostura Orange Bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.
Kentucky Likker,Old Fashioned Glass,,"1.5 oz Hirsch Small Batch Reserve Bourbon, 1 oz Luxardo Amaro Abano, 2 dash Orange Bitters, 1 splash Club Soda","Pour the ingredients in an old fashioned glass, then fill up with ice and stir well before serving."
Kentucky Mai Tai,Highball Glass,,"1 oz Mezcal, 1 oz Bourbon, .5 oz Lemon, .5 oz Peche de Vigne, .5 oz Cynar, .5 oz Orgeat, 4 dash Angostura Bitters","Shake, strain over crushed ice in a highball. Garnish with a mint sprig and a cherry."
Kick the Pigeon,Champagne Flute,," oz Pink Pigeon Rum,  oz St. Germaine Elderflower Liqueur,  oz Lemon ,  oz Vanilla Syrup,  oz Prosecco",Build and serve in a champagne flute.
Kind of Fancy,Canadian Glencairn Glass,,"1.5 oz H by HINE, .75 oz Wild Turkey 101 Rye, .5 oz Bin 27 Port, .25 oz Yellow Chartreuse, 2 dash Mole Bitters",Stir ingredients with ice and strain into Canadian Glencairn glass.
King's Medicine,Coupe,,"1.5 oz King's Ginger Liqueur, .75 oz Lemon Juice, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO","Shake, strain into a chilled coupe. Garnish with lemon twist."
King's Snap the Chocolate Out of You,Rocks Glass,,"1 oz King's Ginger Liqueur, 1.5 oz Homemade milk chocolate, .75 oz Hazelnut Cinnamon syrup,  oz Marshmallow whip cream,  oz Ginger snaps",Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.
King's Toddy,Mug,,"1 oz No.3 London Dry Gin, .75 oz Lemon Juice, .5 oz King's Ginger Liqueur, .5 oz Clover Honey Syrup","Combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist."
Kir,N/A,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry White Wine","Add room temperature Creme de Cassis to the glass first, followed by the wine."
Kir Royale,N/A,,"1 part Briottet Creme de Cassis, 4 part Chilled Dry Champagne","Add room temperature Creme de Cassis to the glass first, followed by the Champagne."
Kiss,Martini,,"2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur","Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice."
Kiss Of Persuasion,Coupe,,"1 oz Luxardo Maraschino Liqueur, 1 oz Honey-Pear Liqueur, .5 oz Heavy Cream,  oz Pinch of Cardamom,  oz Dehydrated pear slice",Pre-mix the liquors together and keep refrigerated. Serve 2 oz. neat into a small coupe glass. Float the fresh cream on top.
Knockemdown Key,N/A,,"2 oz English Harbour Rum, .5 oz Briottet Creme de Banane, .25 oz Luxardo Maraschino Liqueur, .5 oz Lime juice, 1 bsp Rich simple syrup",Shake and strain into small cocktail glass.
Kumquat Smash,N/A,,"1 oz Luxardo Triplum (Triple Sec), 1 oz Ypioca Brasilizar Cachaca Prata Classica, .5 oz Luxardo Sour Cherry Syrup (Previously Amarena), 5  Kumquats, 1 float Mango Flavored Rum",Muddle the fruit with syrup in a mixing glass. Add ice and shake vigorously. Pour all ingredients(do not strain) in a tumbler glass. Add a float of Mango flavored Rum.
L.E.S. Is More,Highball Glass,,"1.5 oz Karlsson's Gold Vodka, .75 oz Esprit de June, .5 oz Fresh lemon juice, .5 oz Simple syrup","Combine all liquid ingredients in a highball or Collins glass with ice.
Stir lightly and garnish with a lemon twist making sure to release all the essential oils out of the twist. Also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
L'Aviation,Martini,,"1.5 oz No.3 London Dry Gin, 0.5 oz Luxardo Maraschino Liqueur, 0.5 oz Tempus Fugit Liqueur de Violettes, .75 oz Fresh lemon juice",Place ingredients in a shaker with ice and shake hard for seven seconds. Double strain into a chilled martini glass and garnish with lemon peel.
La Capilla,Double Rocks Glass,,"1.5 oz Mezcal, .75 oz Pierre Ferrand Curaçao, .5 oz Gordy’s Cocktail Pickle Brine, 1 oz Watermelon Juice, .5 oz Fresh Grapefruit Juice, .5 oz Fresh Lime Juice","Pour ingredients in a shaker tin, add ice and shake well. 

Fine strain the drink into a double rocks glass filled with ice.
 
Balance a small watermelon triangle on top of the glass. Grate fresh lime zest on top using a microplane, and then sprinkle with Maldon salt."
La Chiara,Collins,,"1 oz Luxardo Bitter Bianco, 1 oz BarSol Primero Quebranta Pisco, 2 oz Fever-Tree Indian Tonic, 1 dash Luxardo Maraschino Liqueur",Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.
La Hops Vie,Martini,,"2 oz Hophead Vodka, .75 oz Fresh Lemon Juice, .75 oz Fresh Grapefruit Juice, .5 oz Simple Syrup,   Gin Barrel Aged Orange Bitters,   Fresh Basil Leaves","Combine all ingredients in a shaker and shake until proper dilution. Double strain into a chilled martini or coupe glass and garnish with 2 fresh basil leaves that have been lightly ""spanked"" to release aromatics."
La La Land,Old Fashioned Glass,,"1.5 oz Karlsson's Gold Vodka, .5 oz Aperol, .5 oz Raspberry/white pepper syrup, .5 oz Fresh lemon juice, .5 oz Fresh cucumber juice, 4-5 pc Fresh mint, 2 dashes Celery bitters","In a mixing glass muddle mint, add all other ingredients and ice, shake, fine strain into a double old fashioned glass over fresh cracked ice. Garnish with cucumber slices and raspberries."
La Madrugada,Coupe,,"1.5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Lemon juice, .5 oz Luxardo Amaro Abano, .25 oz Luxardo Maraschino Liqueur",Combine all ingredients in a mixing glass and add ice. Shake well and double strain and serve into a coupe.
La Maracuja,N/A,,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1.5 oz Fresh Passion Fruit, 1 oz Condense Milk, .25 oz Brown Sugar Syrup (2:1)",Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.
La Nueva Moda (The New Fashion),Rocks Glass,,"2 oz Chinaco Anejo Tequila, .25 oz Mezcal, .25 oz Luxardo Maraschino Liqueur, 2 drops Agave Nectar, 3 dash Fee Brothers Aztec Chocolate Bitters, 2 cubes Sugar","In rocks glass, make an emulsion by using a glass muddler (wood muddlers absorb the ingredients too much). Place sugar cubes in glass. Add mezcal onto the cubes. Add bitters, onto cubes. Add drops of agave nectar, onto cubes. Add Luxardo, onto cubes. Muddle well to make a ""syrup"" paying attention the blending of all ingredients. 
Take the long orange peel and twist all the essential oils into glass. Leave peel in glass. 
Place Gläce Luxury Ice G-Cubed in glass. Rotate Gläce G-Cubed so that it becomes coated and chills the ""syrup"" swirl around the inside of glass. Pour the Anejo Tequila over Gläce G-Cubed. Stir with glass swizzle. Garnish with 3 Luxardo Cherries, speared."
Last Samurai,Cocktail Glass,,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau",Shake. Serve up. Garnish with lime wheel.
Last Word,Cocktail Glass,,".75 oz Luxardo Maraschino Liqueur, .75 oz Junipero Gin, .75 oz Green Chartreuse, .75 oz Fresh Lime Juice",Shake all ingredients with ice then strain into a chilled cocktail glass.
Le Femme Nikita,Rocks Glass,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters",Build in rocks glass. Use cylinder ice cube.
Le Sang et Sable,Stemmed Cordial Glass,,"1.5 oz H by HINE, .5 oz Dubonnet Rouge, .5 oz Cherry Herring, .375 oz Blood Orange Juice, .375 oz Lemon Juice",Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.
Lemon Drop,Cocktail glass,,"Absolut Vodka,Cointreau,Lemon",Shake and strain into a chilled cocktail glass rimmed with sugar.
Little Ground Tapper,Old Fashioned Glass,,"2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Build in an old fashioned glass over ice. Garnish with orange peel.
Local Edition Punch,N/A,,"12 bottles H by HINE, 4 bottles Luxardo Apricot Liqueur, 1 bottle King's Ginger Liqueur, 1 bottle Luxardo Aperitivo, 4 bottles Lemon juice",Combine all ingredients in a punch bowl. Mix well.
Lonesome George,Wine Glass,,"1.25 oz Apricot-Infused H by HINE, 1 oz Napoleon Amontillado, .25 oz Mandarine Napoléon, .5 oz Lazzaroni Amaro",Stir with Ice and strain into a small wine glass.
